id/sequence,Year,Month,Day,file_name/sample id,sample_type,species,plant_number,chemistry_number,associated_blank,associated_RTI
28,2021,1,7,ENE_1222,Sample,"Inga aff. ""splendens""",1649,cG162,BLK_3,RTI_3
29,2021,1,7,ENE_1061,Sample,Miconia schunkei,1408,cG144,BLK_3,RTI_3
30,2021,1,7,ENE_1231,Sample,Inga hispida,2481,cG259,BLK_3,RTI_3
31,2021,1,7,ENE_1210,Sample,"Piper ""corazón""",2139,cG231,BLK_3,RTI_3
32,2021,1,7,ENE_1218,Sample,Inga alata,3044,cG289,BLK_3,RTI_3
33,2021,1,7,ENE_1249,Sample,"Inga ""2 nervi""",2429,cG253,BLK_3,RTI_3
34,2021,1,7,ENE_1019,Sample,Miconia lanceolada,2621,cG278,BLK_3,RTI_3
35,2021,1,7,ENE_893,Sample,"Ficus ""sp.839""",839,cG082,BLK_3,RTI_3
36,2021,1,7,ENE_938,Sample,Inga flaca-glabra,321,cG029,BLK_3,RTI_3
160,2021,2,5,RTI_32,Standard,,,,,
161,2021,2,5,RTI_33,Standard,,,,,
162,2021,2,5,BLK_18,Blank,,,,,
163,2021,2,5,ENE_949,Sample,Miconia morfo 6,290,cG019,BLK_18,RTI_33
164,2021,2,5,ENE_1016,Sample,Inga umbellifera,1094,cG095,BLK_18,RTI_33
165,2021,2,5,ENE_1048,Sample,"Miconia ""tipica soha""",1439,cG149,BLK_18,RTI_33
166,2021,2,5,ENE_1187,Sample,"Miconia ""triplinervia""",2040,cG211,BLK_18,RTI_33
167,2021,2,5,ENE_1126,Sample,Inga laurina,1753,cG183,BLK_18,RTI_33
168,,,,RTI_34,Standard,,,,BLK_18,
169,2021,2,5,ENE_1148,Sample,"Inga ""incognito""",1745,cG179,BLK_18,RTI_34
170,2021,2,5,ENE_1125,Sample,"Psychotria ""morada""",1646,cG160,BLK_18,RTI_34
171,2021,2,5,ENE_1173,Sample,"Miconia ""colonsito""",1640,cG158,BLK_18,RTI_34
172,2021,2,5,ENE_1209,Sample,Inga punctata,2104,cG227,BLK_18,RTI_34
173,2021,2,5,ENE_1153,Sample,Inga marginata,1754,cG184,BLK_18,RTI_34
174,,,,RTI_35,Standard,,,,,
175,,,,BLK_19,Blank,,,,,
176,2021,2,5,ENE_1207,Sample,"Piper ""2165""",2165,cG236,BLK_19,RTI_35
177,2021,2,5,ENE_1143,Sample,Inga umbellifera,1651,cG163,BLK_19,RTI_35
178,2021,2,5,ENE_1066,Sample,Inga alba,1204,cG122,BLK_19,RTI_35
179,2021,2,5,ENE_1221,Sample,Miconia sp6,2748,cG281,BLK_19,RTI_35
180,2021,2,5,ENE_1033,Sample,Piper aliconvere guiznensis,1117,cG101,BLK_19,RTI_35
181,,,,RTI_36,Standard,,,,BLK_19,
182,2021,2,5,ENE_1219,Sample,Miconia lanceolada,2621,cG278,BLK_19,RTI_36
183,2021,2,5,ENE_1200,Sample,Inga bourgonii,2093,cG225,BLK_19,RTI_36
184,2021,2,5,ENE_1167,Sample,"Miconia ""pseudo-obovoid""",2015,cG205,BLK_19,RTI_36
185,2021,2,5,ENE_947,Sample,Ficus morfo 2,285,cG018,BLK_19,RTI_36
186,2021,2,5,ENE_1251,Sample,"Miconia ""sp3""",2491,cG260,BLK_19,RTI_36
187,,,,RTI_37,Standard,,,,,
188,,,,BLK_20,Blank,,,,,
189,2021,2,5,ENE_1176,Sample,"Piper ""lanceo"" cf",2049,cG215,BLK_20,RTI_37
190,2021,2,5,ENE_1224,Sample,Inga brachystachis,2629,cG273,BLK_20,RTI_37
191,2021,2,5,ENE_1077,Sample,"Piper ""haz-áspero""",1423,cG146,BLK_20,RTI_37
192,2021,2,5,ENE_950,Sample,Psychotria morfo 1,1,cG001,BLK_20,RTI_37
193,2021,2,5,ENE_897,Sample,"Ficus cf. ""tonduzii""",993,cG090,BLK_20,RTI_37
194,,,,RTI_38,Standard,,,,BLK_20,
195,2021,2,5,ENE_1205,Sample,Piper augustum con pelos,2114,cG229,BLK_20,RTI_38
196,2021,2,5,ENE_1250,Sample,Palicouria sp2,2791,cG286,BLK_20,RTI_38
197,2021,2,5,ENE_1022,Sample,Miconia elata,1153,cG110,BLK_20,RTI_38
198,2021,2,5,ENE_1162,Sample,"Palicourea ""morada""",1653,cG164,BLK_20,RTI_38
199,2021,2,5,ENE_1191,Sample,Inga nobilis,2038,cG210,BLK_20,RTI_38
200,,,,RTI_39,Standard,,,,,
201,,,,BLK_21,Blank,,,,,
202,2021,2,5,ENE_1254,Sample,Inga tenuestipula,2793,cG284,BLK_21,RTI_39
203,2021,2,5,ENE_1070,Sample,Inga 3 alitarco,1278,cG137,BLK_21,RTI_39
204,2021,2,5,ENE_1194,Sample,Piper augustum,2044,cG213,BLK_21,RTI_39
205,2021,2,5,ENE_1029,Sample,Piper augustum con pelos,1100,cG097,BLK_21,RTI_39
206,2021,2,5,ENE_1051,Sample,Inga bourgonii,1215,cG125,BLK_21,RTI_39
207,,,,RTI_40,Standard,,,,BLK_21,
208,2021,2,5,ENE_1062,Sample,Inga chrysanta aff,1424,cG147,BLK_21,RTI_40
209,2021,2,5,ENE_1220,Sample,"Inga chartaea ""sin pelos""",2702,cG279,BLK_21,RTI_40
210,2021,2,5,ENE_946,Sample,Piper morfo 4,58,cG010,BLK_21,RTI_40
211,2021,2,5,ENE_1225,Sample,Piper augustum,2502,cG262,BLK_21,RTI_40
212,2021,2,5,ENE_1248,Sample,Inga velutina,2606,cG272,BLK_21,RTI_40
213,,,,RTI_41,Standard,,,,,
214,,,,BLK_22,Blank,,,,,
215,2021,2,5,ENE_1128,Sample,Inga subcapitata,1748,cG180,BLK_22,RTI_41
216,2021,2,5,ENE_1043,Sample,Inga oiliata,1450,cG151,BLK_22,RTI_41
217,2021,2,5,ENE_1044,Sample,"Miconia ""elata""",1188,cG118,BLK_22,RTI_41
218,2021,2,5,ENE_898,Sample,"Inga ""flaca_glabra""",1009,cG091,BLK_22,RTI_41
219,2021,2,5,ENE_1074,Sample,"Psychortia ""rwgea""",1417,cG145,BLK_22,RTI_41
220,,,,RTI_42,Standard,,,,BLK_22,
221,2021,2,5,ENE_941,Sample,"Miconia ""aurea""",337,cG033,BLK_22,RTI_42
222,2021,2,5,ENE_1027,Sample,Inga oerstediana ,1132,cG105,BLK_22,RTI_42
223,2021,2,5,ENE_1208,Sample,Inga sapindoides,2174,cG238,BLK_22,RTI_42
224,2021,2,5,ENE_937,Sample,"Piper ""cordatifolium""",340,cG034,BLK_22,RTI_42
225,2021,2,5,ENE_1037,Sample,"Piper ""lance""",1443,cG150,BLK_22,RTI_42
226,,,,RTI_43,Standard,,,,,
227,,,,BLK_23,Blank,,,,,
228,2021,2,5,ENE_1155,Sample,Inga,1731,cG176,BLK_23,RTI_43
229,2021,2,5,ENE_1150,Sample,Piper,1749,cG181,BLK_23,RTI_43
230,2021,2,5,ENE_1056,Sample,Inga umbellifera,1136,cG106,BLK_23,RTI_43
231,2021,2,5,ENE_1046,Sample,"Miconia ""dimorphica""",1131,cG105,BLK_23,RTI_43
232,2021,2,5,ENE_958,Sample,Miconia morfo 5,218,cG016,BLK_23,RTI_43
233,,,,RTI_44,Standard,,,,BLK_23,
234,2021,2,5,ENE_1203,Sample,Inga cylindrica,2109,cG228,BLK_23,RTI_44
235,2021,2,5,ENE_889,Sample,"Psyhotria ""jumandi""",626,cG064,BLK_23,RTI_44
236,2021,2,5,ENE_1168,Sample,"Piper ""buli-hirsuta""",1867,cG198,BLK_23,RTI_44
237,2021,2,5,ENE_959,Sample,Miconia morfo 4,167,cG014,BLK_23,RTI_44
238,2021,2,5,ENE_1139,Sample,"Miconia ""rugo-café""",1655,cG165,BLK_23,RTI_44
239,,,,RTI_45,Standard,,,,,
240,,,,BLK_24,Blank,,,,,
241,2021,2,5,ENE_1152,Sample,Inga auristelae,1657,cG166,BLK_24,RTI_45
242,2021,2,5,ENE_1212,Sample,"Piper ""haz-ásperohirsuta""",2127,cG230,BLK_24,RTI_45
243,2021,2,5,ENE_1204,Sample,"Piper ""hirsuta""",2071,cG220,BLK_24,RTI_45
244,2021,2,5,ENE_1237,Sample,Inga umbellifera ala corta,2561,cG267,BLK_24,RTI_45
245,2021,2,5,ENE_1054,Sample,Inga umbratrea,1168,cG113,BLK_24,RTI_45
246,,,,RTI_46,Standard,,,,BLK_24,
247,2021,2,5,ENE_1057,Sample,"Psychotria ""coffee""",1106,cG099,BLK_24,RTI_46
248,2021,2,5,ENE_1206,Sample,"Piper ""mini-aduncum""",2161,cG235,BLK_24,RTI_46
249,2021,2,5,ENE_1015,Sample,"Piper ""hirsuta""",1437,cG148,BLK_24,RTI_46
250,2021,2,5,ENE_1244,Sample,"Inga ""3 hirsuta""",2528,cG265,BLK_24,RTI_46
251,2021,2,5,ENE_1063,Sample,Inga  leiocalycina,1273,cG136,BLK_24,RTI_46
252,,,,RTI_47,Standard,,,,,
253,,,,BLK_25,Blank,,,,,
254,2021,2,5,ENE_1127,Sample,"Palicourea ""crasa""",1673,cG173,BLK_25,RTI_47
255,2021,2,5,ENE_1199,Sample,Inga vismiifolia,2146,cG233,BLK_25,RTI_47
256,2021,2,5,ENE_1171,Sample,"Miconia ""1909""",1908,cG200,BLK_25,RTI_47
257,2021,2,5,ENE_1014,Sample,"Palicourea ""glauca""",1250,cG132,BLK_25,RTI_47
258,2021,2,5,ENE_1198,Sample,Inga edulis,2081,cG223,BLK_25,RTI_47
259,,,,RTI_48,Standard,,,,BLK_25,
260,2021,2,5,ENE_895,Sample,"Miconia ""cleatranta""",656,cG067,BLK_25,RTI_48
261,2021,2,5,ENE_1233,Sample,Miconia napoana,2521,cG264,BLK_25,RTI_48
262,2021,2,5,ENE_944,Sample,Miconia morfo 2,41,cG007,BLK_25,RTI_48
263,2021,2,5,ENE_1080,Sample,Miconia fosterii,1092,cG094,BLK_25,RTI_48
264,2021,2,5,ENE_1172,Sample,"Miconia ""oborata""",1662,cG170,BLK_25,RTI_48
265,,,,RTI_49,Standard,,,,,
266,,,,BLK_26,Blank,,,,,
267,2021,2,5,ENE_1186,Sample,"Piper ""buli-hirsuta""",2058,cG218,BLK_26,RTI_49
268,2021,2,5,ENE_927,Sample,"Miconia ""dos_arriba""",560,cG053,BLK_26,RTI_49
269,2021,2,5,ENE_1017,Sample,Inga laurina,1164,cG112,BLK_26,RTI_49
270,2021,2,5,ENE_1081,Sample,Inga marginata,1242,cG130,BLK_26,RTI_49
271,2021,2,5,ENE_1041,Sample,Piper,1343,cG140,BLK_26,RTI_49
272,,,,RTI_50,Standard,,,,BLK_26,
273,2021,2,5,ENE_1036,Sample,"Miconia ""cuneata""",1630,cG157,BLK_26,RTI_50
274,2021,2,5,ENE_1169,Sample,Inga cinnamomea,1740,cG193,BLK_26,RTI_50
275,2021,2,5,ENE_1164,Sample,"Miconia ""nervosa-peluda""",2024,cG207,BLK_26,RTI_50
276,2021,2,5,RTI_51,Standard,,,,,
277,,,,BLK_27,Blank,,,,,
278,2021,2,10,RTI_52,Standard,,,,,
279,2021,2,10,RTI_53,Standard,,,,,
280,2021,2,10,BLK_28,Blank,,,,,
281,2021,2,10,ENE_1234,Sample,Inga microcoma,2590,cG270,BLK_28,RTI_53
282,2021,2,10,ENE_1190,Sample,"Piper ""glaucum""",2095,cG226,BLK_28,RTI_53
283,2021,2,10,ENE_872,Sample,"Piper ""crasito""",443,cG047,BLK_28,RTI_53
284,2021,2,10,ENE_896,Sample,"Psychotria ""axil_do_matia""",768,cG079,BLK_28,RTI_53
285,2021,2,10,ENE_916,Sample,"Piper ""hirsuto""",305,cG021,BLK_28,RTI_53
286,2021,2,10,RTI_54,Standard,,,,BLK_28,
287,2021,2,10,ENE_931,Sample,"Piper ""chic""",367,cG037,BLK_28,RTI_54
288,2021,2,10,ENE_1023,Sample,"Piper ""obbig""",1118,cG102,BLK_28,RTI_54
289,2021,2,10,ENE_1024,Sample,"Piper ""obliq-pechirauto""",1230,cG127,BLK_28,RTI_54
290,2021,2,10,ENE_1040,Sample,Inga auristelae,1375,cG141,BLK_28,RTI_54
291,2021,2,10,ENE_1045,Sample,Piper bellidifolium,1096,cG096,BLK_28,RTI_54
292,2021,2,10,RTI_55,Standard,,,,,
293,2021,2,10,BLK_29,Blank,,,,,
294,2021,2,10,ENE_1065,Sample,Inga cordatoalata,1101,cG098,BLK_29,RTI_55
295,2021,2,10,ENE_1067,Sample,Inga ruiziana,1191,cG120,BLK_29,RTI_55
296,2021,2,10,ENE_1072,Sample,"Miconia ""café""",1171,cG114,BLK_29,RTI_55
297,2021,2,10,ENE_1141,Sample,"Piper ""obligum""",1810,cG195,BLK_29,RTI_55
298,2021,2,10,ENE_1151,Sample,Inga aria,1725,cG175,BLK_29,RTI_55
299,2021,2,10,RTI_56,Standard,,,,BLK_29,
300,2021,2,10,ENE_1193,Sample,"Piper ""corazón"" colonso",2050,cG216,BLK_29,RTI_56
301,2021,2,10,ENE_1189,Sample,Piper,2250,cG242,BLK_29,RTI_56
302,2021,2,10,ENE_1149,Sample,Piper,1786,cG191,BLK_29,RTI_56
303,2021,2,10,ENE_1146,Sample,"Palicourea ""plastiel""",1790,cG192,BLK_29,RTI_56
304,2021,2,10,ENE_1138,Sample,"Miconia ""clide""",,cG208,BLK_29,RTI_56
305,2021,2,10,RTI_57,Standard,,,,,
306,2021,2,10,BLK_30,Blank,,,,,
307,2021,2,10,ENE_1134,Sample,Inga vismiifolia,1772,cG188,BLK_30,RTI_57
308,2021,2,10,ENE_1075,Sample,,,,BLK_30,RTI_57
309,2021,2,10,ENE_960,Sample,Psychotria morfo 3,,cG015,BLK_30,RTI_57
310,2021,2,10,ENE_1123,Sample,"Miconia ""pseudo-obovoid""",1742,cG178,BLK_30,RTI_57
311,2021,2,10,ENE_1136,Sample,Piper,1801,cG194,BLK_30,RTI_57
312,2021,2,10,RTI_58,Standard,,,,BLK_30,
313,2021,2,10,ENE_1032,Sample,Piper augustum,1091,cG093,BLK_30,RTI_58
314,2021,2,10,ENE_1131,Sample,"Inga ""pseudo-capitata""",1776,cG189,BLK_30,RTI_58
315,2021,2,10,ENE_1135,Sample,Inga codatoalata,1659,cG168,BLK_30,RTI_58
316,2021,2,10,ENE_1211,Sample,"Miconia ""2074""",2074,cG221,BLK_30,RTI_58
317,2021,2,10,ENE_930,Sample,Inga cf. ornata (vismifolia),310,cG025,BLK_30,RTI_58
318,2021,2,10,RTI_59,Standard,,,,,
319,2021,2,10,BLK_31,Blank,,,,,
320,2021,2,10,ENE_1232,Sample,Inga alba,2474,cG258,BLK_31,RTI_59
321,2021,2,10,ENE_919,Sample,"Ficus ""tanduzii""",603,cG059,BLK_31,RTI_59
322,2021,2,10,ENE_922,Sample,Inga teniestipula,569,cG054,BLK_31,RTI_59
323,2021,2,10,ENE_1236,Sample,Inga thibaudiana,2547,cG268,BLK_31,RTI_59
324,2021,2,10,ENE_956,Sample,Piper morfo 3,54,cG009,BLK_31,RTI_59
325,2021,2,10,RTI_60,Standard,,,,BLK_31,
326,2021,2,10,ENE_906,Sample,"Miconia ""ortigosa""",668,cG070,BLK_31,RTI_60
327,2021,2,10,ENE_1214,Sample,Inga umbellifera ala angosta,2514,cG263,BLK_31,RTI_60
328,2021,2,10,ENE_1215,Sample,Miconia crassa-ondulada,2639,cG275,BLK_31,RTI_60
329,2021,2,10,ENE_1246,Sample,Miconia redondita semibul,2640,cG276,BLK_31,RTI_60
330,2021,2,10,ENE_1030,Sample,"Psychotria ""crenulada""",1128,cG104,BLK_31,RTI_60
331,2021,2,10,RTI_61,Standard,,,,,
332,2021,2,10,BLK_32,Blank,,,,,
333,2021,2,10,ENE_945,Sample,Psychotria morfo 2,49,cG008,BLK_32,RTI_61
334,2021,2,10,ENE_961,Sample,Piper morfo 5,201,cG015,BLK_32,RTI_61
335,2021,2,10,ENE_1133,Sample,"Miconia ""domatia""",1969,cG203,BLK_32,RTI_61
336,2021,2,10,ENE_1132,Sample,"Inga ""incognito""",1652,cG164,BLK_32,RTI_61
337,2021,2,10,ENE_1121,Sample,Miconia nervosa,1798,cG204,BLK_32,RTI_61
338,2021,2,10,RTI_62,Standard,,,,BLK_32,
339,2021,2,10,ENE_1226,Sample,Inga ruiziana,2461,cG255,BLK_32,RTI_62
340,2021,2,10,ENE_1238,Sample,Inga unbellifera ala angosta,2950,cG288,BLK_32,RTI_62
341,2021,2,10,ENE_1160,Sample,"Miconia ""lija""",1779,cG190,BLK_32,RTI_62
342,2021,2,10,ENE_1159,Sample,"Psychotria ""venulosa""",1643,cG159,BLK_32,RTI_62
343,2021,2,10,ENE_1154,Sample,"Piper ""lenguetita""",1770,cG187,BLK_32,RTI_62
344,2021,2,10,RTI_63,Standard,,,,,
345,2021,2,10,BLK_33,Blank,,,,,
346,2021,2,10,ENE_1245,Sample,Miconia cariodanopsis,2788,cG285,BLK_33,RTI_63
347,2021,2,10,ENE_1242,Sample,Miconia caryodapniopsis,2420,cG250,BLK_33,RTI_63
348,2021,2,10,ENE_924,Sample,"Miconia ""bulli_brown""",577,cG055,BLK_33,RTI_63
349,2021,2,10,ENE_1174,Sample,"Piper ""hirsuta""",2385,cG248,BLK_33,RTI_63
350,2021,2,10,ENE_1059,Sample,"Miconia ""smara""",1187,cG117,BLK_33,RTI_63
351,2021,2,10,RTI_64,Standard,,,,BLK_33,
352,2021,2,10,ENE_1068,Sample,Miconia coneada-pec,1209,cG124,BLK_33,RTI_64
353,2021,2,10,ENE_1179,Sample,Piper augustum con pelos,2057,cG217,BLK_33,RTI_64
354,2021,2,10,ENE_1073,Sample,"Piper ""obchic""",1391,cG142,BLK_33,RTI_64
355,2021,2,10,ENE_1158,Sample,Inga capitata,1765,cG185,BLK_33,RTI_64
356,2021,2,10,ENE_1031,Sample,"Piper ""minibul""",1500,cG153,BLK_33,RTI_64
357,2021,2,10,RTI_65,Standard,,,,,
358,2021,2,10,BLK_34,Blank,,,,,
359,2021,2,10,ENE_1039,Sample,Miconia punetata,1138,cG107,BLK_34,RTI_65
360,2021,2,10,ENE_1071,Sample,Policourea,1120,cG103,BLK_34,RTI_65
361,2021,2,10,RTI_66,Standard,,,,,
362,2021,2,10,BLK_35,Blank,,,,,
363,2021,2,19,RTI_67,Standard,,,,,
364,2021,2,19,RTI_68,Standard,,,,,
365,2021,2,19,BLK_36,Blank,,,,,
366,2021,2,19,ENE_925,Sample,"Miconia ""pelos al margen""",500,cG051,BLK_36,RTI_68
367,2021,2,19,ENE_926,Sample,"Psychotria ""glauca""",506,cG052,BLK_36,RTI_68
368,2021,2,19,ENE_935,Sample,"Psychotria ""fosfo""",317,cG027,BLK_36,RTI_68
369,2021,2,19,ENE_939,Sample,Piper adumcun,322,cG030,BLK_36,RTI_68
370,2021,2,19,ENE_940,Sample,Inga cf. burgonii,325,cG031,BLK_36,RTI_68
371,2021,2,19,RTI_69,Standard,,,,BLK_36,
372,2021,2,19,ENE_951,Sample,Miconia morfo 3,63,cG011,BLK_36,RTI_69
373,2021,2,19,ENE_952,Sample,Piper morfo 2,14,cG004,BLK_36,RTI_69
374,2021,2,19,ENE_934,Sample,"Piper ""pelta""",311,cG026,BLK_36,RTI_69
375,2021,2,19,ENE_953,Sample,Piper morfo 1,4,cG002,BLK_36,RTI_69
376,2021,2,19,ENE_954,Sample,Ficus morfo1,8,cG012,BLK_36,RTI_69
377,2021,2,19,RTI_70,Standard,,,,,
378,2021,2,19,BLK_37,Blank,,,,,
379,2021,2,19,ENE_955,Sample,Piper morfo 1,4,cG003,BLK_37,RTI_70
380,2021,2,19,ENE_957,Sample,Piper morfo 2,14,cG005,BLK_37,RTI_70
381,2021,2,19,ENE_1018,Sample,Piper ob-big2,1177,cG115,BLK_37,RTI_70
382,2021,2,19,ENE_1078,Sample,"Piper ""mini""",1256,cG133,BLK_37,RTI_70
383,2021,2,19,ENE_1129,Sample,"Psychotria ""larguita""",1687,cG174,BLK_37,RTI_70
384,2021,2,19,RTI_71,Standard,,,,BLK_37,
385,2021,2,19,ENE_1140,Sample,"Miconia ""pucho""",1776,cG203,BLK_37,RTI_71
386,2021,2,19,ENE_1145,Sample,"Piper ""lanceolada""",1878,cG199,BLK_37,RTI_71
387,2021,2,19,ENE_1147,Sample,"Inga ""2 par peluda""",1933,cG202,BLK_37,RTI_71
388,2021,2,19,ENE_1163,Sample,"Palicourea ""gorda""",1647,cG161,BLK_37,RTI_71
389,2021,2,19,ENE_1170,Sample,Inga aff. poeppigiana,1989,cG204,BLK_37,RTI_71
390,2021,2,19,RTI_72,Standard,,,,,
391,2021,2,19,BLK_38,Blank,,,,BLK_38,RTI_72
392,2021,2,19,ENE_1184,Sample,Miconia strigosita,2043,cG212,BLK_38,RTI_72
393,2021,2,19,ENE_902,Sample,"Miconia ""semi_cordi""",686,cG074,BLK_38,RTI_72
394,2021,2,19,ENE_1213,Sample,"Piper augustum ""polos""",2030,cG222,BLK_38,RTI_72
395,2021,2,19,ENE_1223,Sample,Piper cf aduncunum,2765,cG282,BLK_38,RTI_72
396,2021,2,19,ENE_899,Sample,Miconia,1085,cG092,BLK_38,RTI_72
397,2021,2,19,RTI_73,Standard,,,,BLK_38,
398,2021,2,19,ENE_881,Sample,"Miconia ""pec-purpurea""",382,cG038,BLK_38,RTI_73
399,2021,2,19,ENE_915,Sample,"Piper ""synamo""",306,cG022,BLK_38,RTI_73
400,2021,2,19,ENE_880,Sample,"Miconia ""pelos-bulling""",386,cG039,BLK_38,RTI_73
401,2021,2,19,ENE_914,Sample,"Ficus ""guia""",490,cG050,BLK_38,RTI_73
402,2021,2,19,ENE_879,Sample,Inga cf. rusby,411,cG040,BLK_38,RTI_73
403,2021,2,19,RTI_74,Standard,,,,,
404,2021,2,19,BLK_39,Blank,,,,,
405,2021,2,19,ENE_917,Sample,Piper aspero,303,cG020,BLK_39,RTI_74
406,2021,2,19,ENE_875,Sample,Inga glomeriflora,460,cG044,BLK_39,RTI_74
407,2021,2,19,ENE_886,Sample,"Miconia ""stipula_morada""",721,cG078,BLK_39,RTI_74
408,2021,2,19,ENE_877,Sample,"Piper ""superbull""",448,cG042,BLK_39,RTI_74
409,2021,2,19,ENE_913,Sample,"Miconia ""amarilla""",858,cG085,BLK_39,RTI_74
410,2021,2,19,RTI_75,Standard,,,,BLK_39,
411,2021,2,19,ENE_876,Sample,"Inga ""stipular""",449,cG043,BLK_39,RTI_75
412,2021,2,19,ENE_882,Sample,Inga cf. cylindrica,609,cG061,BLK_39,RTI_75
413,2021,2,19,ENE_909,Sample,"Miconia ""pubica""",720,cG077,BLK_39,RTI_75
414,2021,2,19,ENE_873,Sample,"Miconia ""longipec""",476,cG046,BLK_39,RTI_75
415,2021,2,19,ENE_912,Sample,"Miconia ""dielsi""",856,cG084,BLK_39,RTI_75
416,2021,2,19,RTI_76,Standard,,,,,
417,2021,2,19,BLK_40,Blank,,,,,
418,2021,2,19,ENE_870,Sample,"Miconia ""redondita""",489,cG049,BLK_40,RTI_76
419,2021,2,19,ENE_907,Sample,Inga pseudopoeppigiana,948,cG088,BLK_40,RTI_76
420,2021,2,19,ENE_891,Sample,"Miconia ""blackeoides""",781,cG080,BLK_40,RTI_76
421,2021,2,19,ENE_892,Sample,"Miconia ""sesil cordi""",794,cG081,BLK_40,RTI_76
422,2021,2,19,ENE_890,Sample,"Miconia ""venamedia strigosa""",630,cG065,BLK_40,RTI_76
423,2021,2,19,RTI_77,Standard,,,,BLK_40,
424,2021,2,19,ENE_1255,Sample,Ficus guiansis,3258,CG315,BLK_40,RTI_77
425,2021,2,19,ENE_1256,Sample,Inga cofufolia,3206,CG308,BLK_40,RTI_77
426,2021,2,19,ENE_1257,Sample,Psycothria pubica,3092,CG305,BLK_40,RTI_77
427,2021,2,19,ENE_1258,Sample,Piper peciolada,3090,CG304,BLK_40,RTI_77
428,2021,2,19,ENE_1259,Sample,Piper margen ondulado,3061,CG298,BLK_40,RTI_77
429,2021,2,19,RTI_78,Standard,,,,,
430,2021,2,19,BLK_41,Blank,,,,,
431,2021,2,19,ENE_1260,Sample,Piper azul,3053,CG292,BLK_41,RTI_78
432,2021,2,19,ENE_1261,Sample,Miconia purpuracea,3129,CG310,BLK_41,RTI_78
433,2021,2,19,ENE_1262,Sample,Piper aspero,3321,CG317,BLK_41,RTI_78
434,2021,2,19,ENE_1263,Sample,Psycothria poeginia,3143,CG309,BLK_41,RTI_78
435,2021,2,19,ENE_1264,Sample,Palicouria raquis purpura,3052,CG291,BLK_41,RTI_78
436,2021,2,19,RTI_79,Standard,,,,BLK_41,
437,2021,2,19,ENE_1265,Sample,Miconia pachakutik,3203,CG312,BLK_41,RTI_79
438,2021,2,19,ENE_1266,Sample,Miconia peludita,3082,CG303,BLK_41,RTI_79
439,2021,2,19,ENE_1267,Sample,Psycothria poepigiana,3074,CG300,BLK_41,RTI_79
440,2021,2,19,ENE_1268,Sample,Palicouria pachakutik,3055,CG293,BLK_41,RTI_79
441,2021,2,19,ENE_1269,Sample,Miconia simple,3132,CG307,BLK_41,RTI_79
