id/sequence,Year,Month,Day,file_name/smaple id,sample_type,species,plant_number,chemistry_number,associated_blank,associated_RTI,
63,2021,1,28,ENE_887,Sample,"Miconia ""chica_cordi""",492,cG089,BLK_9,RTI_15,
64,2021,1,28,RTI_16,Standard,Standard,STD_1,STD_1,BLK_9,RTI_16,
65,2021,1,28,BLK_10,Blank,Blank,BLK_1,BLK_1,BLK_10,RTI_16,
66,2021,1,28,ENE_942,Sample,"Miconia cf ""clidemia""",355,cG035,BLK_10,RTI_16,
67,2021,1,28,ENE_900,Sample,"Miconia ""scadens""",706,cG076,BLK_10,RTI_16,
68,2021,1,28,ENE_920,Sample,"Inga ""pseudoauristellae""",601,cG058,BLK_10,RTI_16,
69,2021,1,28,ENE_878,Sample,"Miconia ""pseudoaurea""",424,cG041,BLK_10,RTI_16,
70,2021,1,28,ENE_928,Sample,Inga poeppigiana,307,cG023,BLK_10,RTI_16,
71,2021,1,28,RTI_17,Standard,Standard,STD_1,STD_1,BLK_10,RTI_17,
72,2021,1,28,ENE_910,Sample,"Psychotria ""membra_glauca""",664,cG069,BLK_10,RTI_17,
73,2021,1,28,ENE_929,Sample,"Piper ""lanceolada""",309,cG024,BLK_10,RTI_17,
74,2021,1,28,ENE_883,Sample,"Miconia ""corazón""",615,cG062,BLK_10,RTI_17,
75,2021,1,28,ENE_921,Sample,"Inga ""pseudoauristellae""",590,cG057,BLK_10,RTI_17,
76,2021,1,28,ENE_871,Sample,"Miconia ""dentada""",467,cG048,BLK_10,RTI_17,
77,2021,1,28,RTI_18,Standard,Standard,STD_1,STD_1,BLK_10,RTI_18,
168,2021,2,5,RTI_34,Standard,Standard,STD_1,STD_1,BLK_18,RTI_34,
169,2021,2,5,ENE_1148,Sample,"Inga ""incognito""",1745,cG179,BLK_18,RTI_34,
170,2021,2,5,ENE_1125,Sample,"Psychotria ""morada""",1646,cG160,BLK_18,RTI_34,
171,2021,2,5,ENE_1173,Sample,"Miconia ""colonsito""",1640,cG158,BLK_18,RTI_34,
172,2021,2,5,ENE_1209,Sample,Inga punctata,2104,cG227,BLK_18,RTI_34,
173,2021,2,5,ENE_1153,Sample,Inga marginata,1754,cG184,BLK_18,RTI_34,
174,2021,2,5,RTI_35,Standard,Standard,STD_1,STD_1,BLK_18,RTI_35,
175,2021,2,5,BLK_19,Blank,Blank,BLK_1,BLK_1,BLK_19,RTI_35,
176,2021,2,5,ENE_1207,Sample,"Piper ""2165""",2165,cG236,BLK_19,RTI_35,
177,2021,2,5,ENE_1143,Sample,Inga umbellifera,1651,cG163,BLK_19,RTI_35,
178,2021,2,5,ENE_1066,Sample,Inga alba,1204,cG122,BLK_19,RTI_35,
179,2021,2,5,ENE_1221,Sample,Miconia sp6,2748,cG281,BLK_19,RTI_35,
180,2021,2,5,ENE_1033,Sample,Piper aliconvere guiznensis,1117,cG101,BLK_19,RTI_35,
181,2021,2,5,RTI_36,Standard,Standard,STD_1,STD_1,BLK_19,RTI_36,
182,2021,2,5,ENE_1219,Sample,Miconia lanceolada,2621,cG278,BLK_19,RTI_36,
183,2021,2,5,ENE_1200,Sample,Inga bourgonii,2093,cG225,BLK_19,RTI_36,
184,2021,2,5,ENE_1167,Sample,"Miconia ""pseudo-obovoid""",2015,cG205,BLK_19,RTI_36,
185,2021,2,5,ENE_947,Sample,Ficus morfo 2,285,cG018,BLK_19,RTI_36,
186,2021,2,5,ENE_1251,Sample,"Miconia ""sp3""",2491,cG260,BLK_19,RTI_36,
187,2021,2,5,RTI_37,Standard,Standard,STD_1,STD_1,BLK_19,RTI_37,
188,2021,2,5,BLK_20,Blank,Blank,BLK_1,BLK_1,BLK_20,RTI_37,
189,2021,2,5,ENE_1176,Sample,"Piper ""lanceo"" cf",2049,cG215,BLK_20,RTI_37,
190,2021,2,5,ENE_1224,Sample,Inga brachystachis,2629,cG273,BLK_20,RTI_37,
191,2021,2,5,ENE_1077,Sample,"Piper ""haz-áspero""",1423,cG146,BLK_20,RTI_37,
192,2021,2,5,ENE_950,Sample,Psychotria morfo 1,1,cG001,BLK_20,RTI_37,
193,2021,2,5,ENE_897,Sample,"Ficus cf. ""tonduzii""",993,cG090,BLK_20,RTI_37,
194,2021,2,5,RTI_38,Standard,Standard,STD_1,STD_1,BLK_20,RTI_38,
195,2021,2,5,ENE_1205,Sample,Piper augustum con pelos,2114,cG229,BLK_20,RTI_38,
196,2021,2,5,ENE_1250,Sample,Palicouria sp2,2791,cG286,BLK_20,RTI_38,
197,2021,2,5,ENE_1022,Sample,Miconia elata,1153,cG110,BLK_20,RTI_38,
198,2021,2,5,ENE_1162,Sample,"Palicourea ""morada""",1653,cG164,BLK_20,RTI_38,
199,2021,2,5,ENE_1191,Sample,Inga nobilis,2038,cG210,BLK_20,RTI_38,
200,2021,2,5,RTI_39,Standard,Standard,STD_1,STD_1,BLK_20,RTI_39,
201,2021,2,5,BLK_21,Blank,Blank,BLK_1,BLK_1,BLK_21,RTI_39,
202,2021,2,5,ENE_1254,Sample,Inga tenuestipula,2793,cG284,BLK_21,RTI_39,
203,2021,2,5,ENE_1070,Sample,Inga 3 alitarco,1278,cG137,BLK_21,RTI_39,
204,2021,2,5,ENE_1194,Sample,Piper augustum,2044,cG213,BLK_21,RTI_39,
205,2021,2,5,ENE_1029,Sample,Piper augustum con pelos,1100,cG097,BLK_21,RTI_39,
206,2021,2,5,ENE_1051,Sample,Inga bourgonii,1215,cG125,BLK_21,RTI_39,
207,2021,2,5,RTI_40,Standard,Standard,STD_1,STD_1,BLK_21,RTI_40,
208,2021,2,5,ENE_1062,Sample,Inga chrysanta aff,1424,cG147,BLK_21,RTI_40,
209,2021,2,5,ENE_1220,Sample,"Inga chartaea ""sin pelos""",2702,cG279,BLK_21,RTI_40,
210,2021,2,5,ENE_946,Sample,Piper morfo 4,58,cG010,BLK_21,RTI_40,
211,2021,2,5,ENE_1225,Sample,Piper augustum,2502,cG262,BLK_21,RTI_40,
212,2021,2,5,ENE_1248,Sample,Inga velutina,2606,cG272,BLK_21,RTI_40,
213,2021,2,5,RTI_41,Standard,Standard,STD_1,STD_1,BLK_21,RTI_41,
214,2021,2,5,BLK_22,Blank,Blank,BLK_1,BLK_1,BLK_22,RTI_41,
215,2021,2,5,ENE_1128,Sample,Inga subcapitata,1748,cG180,BLK_22,RTI_41,
216,2021,2,5,ENE_1043,Sample,Inga oiliata,1450,cG151,BLK_22,RTI_41,
217,2021,2,5,ENE_1044,Sample,"Miconia ""elata""",1188,cG118,BLK_22,RTI_41,
218,2021,2,5,ENE_898,Sample,"Inga ""flaca_glabra""",1009,cG091,BLK_22,RTI_41,
219,2021,2,5,ENE_1074,Sample,"Psychortia ""rwgea""",1417,cG145,BLK_22,RTI_41,
220,2021,2,5,RTI_42,Standard,Standard,STD_1,STD_1,BLK_22,RTI_42,
221,2021,2,5,ENE_941,Sample,"Miconia ""aurea""",337,cG033,BLK_22,RTI_42,
222,2021,2,5,ENE_1027,Sample,Inga oerstediana ,1132,cG105,BLK_22,RTI_42,
223,2021,2,5,ENE_1208,Sample,Inga sapindoides,2174,cG238,BLK_22,RTI_42,
224,2021,2,5,ENE_937,Sample,"Piper ""cordatifolium""",340,cG034,BLK_22,RTI_42,
225,2021,2,5,ENE_1037,Sample,"Piper ""lance""",1443,cG150,BLK_22,RTI_42,
226,2021,2,5,RTI_43,Standard,Standard,STD_1,STD_1,BLK_22,RTI_43,
227,2021,2,5,BLK_23,Blank,Blank,BLK_1,BLK_1,BLK_23,RTI_43,
228,2021,2,5,ENE_1155,Sample,Inga,1731,cG176,BLK_23,RTI_43,
229,2021,2,5,ENE_1150,Sample,Piper,1749,cG181,BLK_23,RTI_43,
230,2021,2,5,ENE_1056,Sample,Inga umbellifera,1136,cG106,BLK_23,RTI_43,
231,2021,2,5,ENE_1046,Sample,"Miconia ""dimorphica""",1131,cG105,BLK_23,RTI_43,
232,2021,2,5,ENE_958,Sample,Miconia morfo 5,218,cG016,BLK_23,RTI_43,
233,2021,2,5,RTI_44,Standard,Standard,STD_1,STD_1,BLK_23,RTI_44,
234,2021,2,5,ENE_1203,Sample,Inga cylindrica,2109,cG228,BLK_23,RTI_44,
235,2021,2,5,ENE_889,Sample,"Psyhotria ""jumandi""",626,cG064,BLK_23,RTI_44,
236,2021,2,5,ENE_1168,Sample,"Piper ""buli-hirsuta""",1867,cG198,BLK_23,RTI_44,
237,2021,2,5,ENE_959,Sample,Miconia morfo 4,167,cG014,BLK_23,RTI_44,
238,2021,2,5,ENE_1139,Sample,"Miconia ""rugo-café""",1655,cG165,BLK_23,RTI_44,
239,2021,2,5,RTI_45,Standard,Standard,STD_1,STD_1,BLK_23,RTI_45,
240,2021,2,5,BLK_24,Blank,Blank,BLK_1,BLK_1,BLK_24,RTI_45,
241,2021,2,5,ENE_1152,Sample,Inga auristelae,1657,cG166,BLK_24,RTI_45,
242,2021,2,5,ENE_1212,Sample,"Piper ""haz-ásperohirsuta""",2127,cG230,BLK_24,RTI_45,
243,2021,2,5,ENE_1204,Sample,"Piper ""hirsuta""",2071,cG220,BLK_24,RTI_45,
244,2021,2,5,ENE_1237,Sample,Inga umbellifera ala corta,2561,cG267,BLK_24,RTI_45,
245,2021,2,5,ENE_1054,Sample,Inga umbratrea,1168,cG113,BLK_24,RTI_45,
246,2021,2,5,RTI_46,Standard,Standard,STD_1,STD_1,BLK_24,RTI_46,
247,2021,2,5,ENE_1057,Sample,"Psychotria ""coffee""",1106,cG099,BLK_24,RTI_46,
248,2021,2,5,ENE_1206,Sample,"Piper ""mini-aduncum""",2161,cG235,BLK_24,RTI_46,
249,2021,2,5,ENE_1015,Sample,"Piper ""hirsuta""",1437,cG148,BLK_24,RTI_46,
250,2021,2,5,ENE_1244,Sample,"Inga ""3 hirsuta""",2528,cG265,BLK_24,RTI_46,
251,2021,2,5,ENE_1063,Sample,Inga  leiocalycina,1273,cG136,BLK_24,RTI_46,
252,2021,2,5,RTI_47,Standard,Standard,STD_1,STD_1,BLK_24,RTI_47,
253,2021,2,5,BLK_25,Blank,Blank,BLK_1,BLK_1,BLK_25,RTI_47,
254,2021,2,5,ENE_1127,Sample,"Palicourea ""crasa""",1673,cG173,BLK_25,RTI_47,
255,2021,2,5,ENE_1199,Sample,Inga vismiifolia,2146,cG233,BLK_25,RTI_47,
256,2021,2,5,ENE_1171,Sample,"Miconia ""1909""",1908,cG200,BLK_25,RTI_47,
257,2021,2,5,ENE_1014,Sample,"Palicourea ""glauca""",1250,cG132,BLK_25,RTI_47,
258,2021,2,5,ENE_1198,Sample,Inga edulis,2081,cG223,BLK_25,RTI_47,
259,2021,2,5,RTI_48,Standard,Standard,STD_1,STD_1,BLK_25,RTI_48,
260,2021,2,5,ENE_895,Sample,"Miconia ""cleatranta""",656,cG067,BLK_25,RTI_48,
261,2021,2,5,ENE_1233,Sample,Miconia napoana,2521,cG264,BLK_25,RTI_48,
262,2021,2,5,ENE_944,Sample,Miconia morfo 2,41,cG007,BLK_25,RTI_48,
263,2021,2,5,ENE_1080,Sample,Miconia fosterii,1092,cG094,BLK_25,RTI_48,
264,2021,2,5,ENE_1172,Sample,"Miconia ""oborata""",1662,cG170,BLK_25,RTI_48,
265,2021,2,5,RTI_49,Standard,Standard,STD_1,STD_1,BLK_25,RTI_49,
266,2021,2,5,BLK_26,Blank,Blank,BLK_1,BLK_1,BLK_26,RTI_49,
267,2021,2,5,ENE_1186,Sample,"Piper ""buli-hirsuta""",2058,cG218,BLK_26,RTI_49,
268,2021,2,5,ENE_927,Sample,"Miconia ""dos_arriba""",560,cG053,BLK_26,RTI_49,
269,2021,2,5,ENE_1017,Sample,Inga laurina,1164,cG112,BLK_26,RTI_49,
270,2021,2,5,ENE_1081,Sample,Inga marginata,1242,cG130,BLK_26,RTI_49,
271,2021,2,5,ENE_1041,Sample,Piper,1343,cG140,BLK_26,RTI_49,
272,2021,2,5,RTI_50,Standard,Standard,STD_1,STD_1,BLK_26,RTI_50,
273,2021,2,5,ENE_1036,Sample,"Miconia ""cuneata""",1630,cG157,BLK_26,RTI_50,
274,2021,2,5,ENE_1169,Sample,Inga cinnamomea,1740,cG193,BLK_26,RTI_50,
275,2021,2,5,ENE_1164,Sample,"Miconia ""nervosa-peluda""",2024,cG207,BLK_26,RTI_50,
276,2021,2,5,RTI_51,Standard,Standard,STD_1,STD_1,BLK_26,RTI_51,
277,2021,2,5,BLK_27,Blank,Blank,BLK_1,BLK_1,BLK_27,RTI_51,
278,2021,2,10,RTI_52,Standard,Standard,STD_1,STD_1,BLK_27,RTI_52,
279,2021,2,10,RTI_53,Standard,Standard,STD_1,STD_1,BLK_27,RTI_53,
280,2021,2,10,BLK_28,Blank,Blank,BLK_1,BLK_1,BLK_28,RTI_53,
281,2021,2,10,ENE_1234,Sample,Inga microcoma,2590,cG270,BLK_28,RTI_53,
282,2021,2,10,ENE_1190,Sample,"Piper ""glaucum""",2095,cG226,BLK_28,RTI_53,
283,2021,2,10,ENE_872,Sample,"Piper ""crasito""",443,cG047,BLK_28,RTI_53,
284,2021,2,10,ENE_896,Sample,"Psychotria ""axil_do_matia""",768,cG079,BLK_28,RTI_53,
285,2021,2,10,ENE_916,Sample,"Piper ""hirsuto""",305,cG021,BLK_28,RTI_53,
286,2021,2,10,RTI_54,Standard,Standard,STD_1,STD_1,BLK_28,RTI_54,
287,2021,2,10,ENE_931,Sample,"Piper ""chic""",367,cG037,BLK_28,RTI_54,
288,2021,2,10,ENE_1023,Sample,"Piper ""obbig""",1118,cG102,BLK_28,RTI_54,
289,2021,2,10,ENE_1024,Sample,"Piper ""obliq-pechirauto""",1230,cG127,BLK_28,RTI_54,
290,2021,2,10,ENE_1040,Sample,Inga auristelae,1375,cG141,BLK_28,RTI_54,
291,2021,2,10,ENE_1045,Sample,Piper bellidifolium,1096,cG096,BLK_28,RTI_54,
292,2021,2,10,RTI_55,Standard,Standard,STD_1,STD_1,BLK_28,RTI_55,
293,2021,2,10,BLK_29,Blank,Blank,BLK_1,BLK_1,BLK_29,RTI_55,
294,2021,2,10,ENE_1065,Sample,Inga cordatoalata,1101,cG098,BLK_29,RTI_55,
295,2021,2,10,ENE_1067,Sample,Inga ruiziana,1191,cG120,BLK_29,RTI_55,
296,2021,2,10,ENE_1072,Sample,"Miconia ""café""",1171,cG114,BLK_29,RTI_55,
297,2021,2,10,ENE_1141,Sample,"Piper ""obligum""",1810,cG195,BLK_29,RTI_55,
298,2021,2,10,ENE_1151,Sample,Inga aria,1725,cG175,BLK_29,RTI_55,
299,2021,2,10,RTI_56,Standard,Standard,STD_1,STD_1,BLK_29,RTI_56,
300,2021,2,10,ENE_1193,Sample,"Piper ""corazón"" colonso",2050,cG216,BLK_29,RTI_56,
301,2021,2,10,ENE_1189,Sample,Piper,2250,cG242,BLK_29,RTI_56,
302,2021,2,10,ENE_1149,Sample,Piper,1786,cG191,BLK_29,RTI_56,
303,2021,2,10,ENE_1146,Sample,"Palicourea ""plastiel""",1790,cG192,BLK_29,RTI_56,
304,2021,2,10,ENE_1138,Sample,"Miconia ""clide""",,cG208,BLK_29,RTI_56,
305,2021,2,10,RTI_57,Standard,Standard,STD_1,STD_1,BLK_29,RTI_57,
306,2021,2,10,BLK_30,Blank,Blank,BLK_1,BLK_1,BLK_30,RTI_57,
307,2021,2,10,ENE_1134,Sample,Inga vismiifolia,1772,cG188,BLK_30,RTI_57,
308,2021,2,10,ENE_1075,Sample,,,,BLK_30,RTI_57,
309,2021,2,10,ENE_960,Sample,Psychotria morfo 3,,cG015,BLK_30,RTI_57,
310,2021,2,10,ENE_1123,Sample,"Miconia ""pseudo-obovoid""",1742,cG178,BLK_30,RTI_57,
311,2021,2,10,ENE_1136,Sample,Piper,1801,cG194,BLK_30,RTI_57,
312,2021,2,10,RTI_58,Standard,Standard,STD_1,STD_1,BLK_30,RTI_58,
313,2021,2,10,ENE_1032,Sample,Piper augustum,1091,cG093,BLK_30,RTI_58,
314,2021,2,10,ENE_1131,Sample,"Inga ""pseudo-capitata""",1776,cG189,BLK_30,RTI_58,
315,2021,2,10,ENE_1135,Sample,Inga codatoalata,1659,cG168,BLK_30,RTI_58,
316,2021,2,10,ENE_1211,Sample,"Miconia ""2074""",2074,cG221,BLK_30,RTI_58,
317,2021,2,10,ENE_930,Sample,Inga cf. ornata (vismifolia),310,cG025,BLK_30,RTI_58,
318,2021,2,10,RTI_59,Standard,Standard,STD_1,STD_1,BLK_30,RTI_59,
319,2021,2,10,BLK_31,Blank,Blank,BLK_1,BLK_1,BLK_31,RTI_59,
320,2021,2,10,ENE_1232,Sample,Inga alba,2474,cG258,BLK_31,RTI_59,
321,2021,2,10,ENE_919,Sample,"Ficus ""tanduzii""",603,cG059,BLK_31,RTI_59,
322,2021,2,10,ENE_922,Sample,Inga teniestipula,569,cG054,BLK_31,RTI_59,
323,2021,2,10,ENE_1236,Sample,Inga thibaudiana,2547,cG268,BLK_31,RTI_59,
324,2021,2,10,ENE_956,Sample,Piper morfo 3,54,cG009,BLK_31,RTI_59,
325,2021,2,10,RTI_60,Standard,Standard,STD_1,STD_1,BLK_31,RTI_60,
326,2021,2,10,ENE_906,Sample,"Miconia ""ortigosa""",668,cG070,BLK_31,RTI_60,
327,2021,2,10,ENE_1214,Sample,Inga umbellifera ala angosta,2514,cG263,BLK_31,RTI_60,
328,2021,2,10,ENE_1215,Sample,Miconia crassa-ondulada,2639,cG275,BLK_31,RTI_60,
329,2021,2,10,ENE_1246,Sample,Miconia redondita semibul,2640,cG276,BLK_31,RTI_60,
330,2021,2,10,ENE_1030,Sample,"Psychotria ""crenulada""",1128,cG104,BLK_31,RTI_60,
331,2021,2,10,RTI_61,Standard,Standard,STD_1,STD_1,BLK_31,RTI_61,
332,2021,2,10,BLK_32,Blank,Blank,BLK_1,BLK_1,BLK_32,RTI_61,
333,2021,2,10,ENE_945,Sample,Psychotria morfo 2,49,cG008,BLK_32,RTI_61,
334,2021,2,10,ENE_961,Sample,Piper morfo 5,201,cG015,BLK_32,RTI_61,
335,2021,2,10,ENE_1133,Sample,"Miconia ""domatia""",1969,cG203,BLK_32,RTI_61,
336,2021,2,10,ENE_1132,Sample,"Inga ""incognito""",1652,cG164,BLK_32,RTI_61,
337,2021,2,10,ENE_1121,Sample,Miconia nervosa,1798,cG204,BLK_32,RTI_61,
338,2021,2,10,RTI_62,Standard,Standard,STD_1,STD_1,BLK_32,RTI_62,
339,2021,2,10,ENE_1226,Sample,Inga ruiziana,2461,cG255,BLK_32,RTI_62,
340,2021,2,10,ENE_1238,Sample,Inga unbellifera ala angosta,2950,cG288,BLK_32,RTI_62,
341,2021,2,10,ENE_1160,Sample,"Miconia ""lija""",1779,cG190,BLK_32,RTI_62,
342,2021,2,10,ENE_1159,Sample,"Psychotria ""venulosa""",1643,cG159,BLK_32,RTI_62,
343,2021,2,10,ENE_1154,Sample,"Piper ""lenguetita""",1770,cG187,BLK_32,RTI_62,
344,2021,2,10,RTI_63,Standard,Standard,STD_1,STD_1,BLK_32,RTI_63,
345,2021,2,10,BLK_33,Blank,Blank,BLK_1,BLK_1,BLK_33,RTI_63,
346,2021,2,10,ENE_1245,Sample,Miconia cariodanopsis,2788,cG285,BLK_33,RTI_63,
347,2021,2,10,ENE_1242,Sample,Miconia caryodapniopsis,2420,cG250,BLK_33,RTI_63,
348,2021,2,10,ENE_924,Sample,"Miconia ""bulli_brown""",577,cG055,BLK_33,RTI_63,
349,2021,2,10,ENE_1174,Sample,"Piper ""hirsuta""",2385,cG248,BLK_33,RTI_63,
350,2021,2,10,ENE_1059,Sample,"Miconia ""smara""",1187,cG117,BLK_33,RTI_63,
351,2021,2,10,RTI_64,Standard,Standard,STD_1,STD_1,BLK_33,RTI_64,
352,2021,2,10,ENE_1068,Sample,Miconia coneada-pec,1209,cG124,BLK_33,RTI_64,
353,2021,2,10,ENE_1179,Sample,Piper augustum con pelos,2057,cG217,BLK_33,RTI_64,
354,2021,2,10,ENE_1073,Sample,"Piper ""obchic""",1391,cG142,BLK_33,RTI_64,
355,2021,2,10,ENE_1158,Sample,Inga capitata,1765,cG185,BLK_33,RTI_64,
356,2021,2,10,ENE_1031,Sample,"Piper ""minibul""",1500,cG153,BLK_33,RTI_64,
357,2021,2,10,RTI_65,Standard,Standard,STD_1,STD_1,BLK_33,RTI_65,
358,2021,2,10,BLK_34,Blank,Blank,BLK_1,BLK_1,BLK_34,RTI_65,
359,2021,2,10,ENE_1039,Sample,Miconia punetata,1138,cG107,BLK_34,RTI_65,
360,2021,2,10,ENE_1071,Sample,Policourea,1120,cG103,BLK_34,RTI_65,
361,2021,2,10,RTI_66,Standard,Standard,STD_1,STD_1,BLK_34,RTI_66,
362,2021,2,10,BLK_35,Blank,Blank,BLK_1,BLK_1,BLK_35,RTI_66,
363,2021,2,19,RTI_67,Standard,Standard,STD_1,STD_1,BLK_35,RTI_67,
364,2021,2,19,RTI_68,Standard,Standard,STD_1,STD_1,BLK_35,RTI_68,
365,2021,2,19,BLK_36,Blank,Blank,BLK_1,BLK_1,BLK_36,RTI_68,
366,2021,2,19,ENE_925,Sample,"Miconia ""pelos al margen""",500,cG051,BLK_36,RTI_68,
367,2021,2,19,ENE_926,Sample,"Psychotria ""glauca""",506,cG052,BLK_36,RTI_68,
368,2021,2,19,ENE_935,Sample,"Psychotria ""fosfo""",317,cG027,BLK_36,RTI_68,
369,2021,2,19,ENE_939,Sample,Piper adumcun,322,cG030,BLK_36,RTI_68,
